	Mode	Type	Ancien	Eloign	Superf
1	NR1	Autre	NR3	plus_5km_NR	plus_30m
2	NR1	Autre	NR3	de_1_5km	NR5
3	NR1	Autre	NR3	plus_5km_NR	NR5
4	NR1	Autre	NR3	plus_5km_NR	NR5
5	NR1	Autre	NR3	plus_5km_NR	NR5
6	NR1	Autre	NR3	plus_5km_NR	NR5
7	NR1	Autre	NR3	plus_5km_NR	NR5
8	NR1	Autre	NR3	plus_5km_NR	NR5
9	NR1	Autre	NR3	plus_5km_NR	NR5
10	NR1	Autre	NR3	plus_5km_NR	NR5
11	NR1	Autre	NR3	plus_5km_NR	NR5
12	NR1	Autre	NR3	plus_5km_NR	NR5
13	NR1	Autre	NR3	plus_5km_NR	NR5
14	NR1	Autre	NR3	plus_5km_NR	NR5
15	NR1	Autre	NR3	plus_5km_NR	NR5
16	NR1	Autre	NR3	plus_5km_NR	NR5
17	NR1	Autre	NR3	plus_5km_NR	NR5
18	NR1	Autre	NR3	plus_5km_NR	NR5
19	NR1	NR2	NR3	plus_5km_NR	NR5
20	NR1	Autre	NR3	plus_5km_NR	NR5
21	NR1	NR2	NR3	plus_5km_NR	NR5
22	NR1	Autre	NR3	plus_5km_NR	NR5
23	NR1	NR2	NR3	plus_5km_NR	NR5
24	NR1	Autre	NR3	plus_5km_NR	NR5
25	NR1	Autre	NR3	plus_5km_NR	plus_30m
26	NR1	Autre	NR3	plus_5km_NR	plus_30m
27	NR1	Autre	NR3	plus_5km_NR	NR5
28	NR1	Autre	NR3	plus_5km_NR	plus_30m
29	NR1	Autre	NR3	plus_5km_NR	plus_30m
30	NR1	Autre	NR3	plus_5km_NR	plus_30m
31	NR1	Autre	NR3	plus_5km_NR	plus_30m
32	NR1	Autre	NR3	plus_5km_NR	plus_30m
33	NR1	Autre	NR3	plus_5km_NR	plus_30m
34	NR1	Autre	NR3	plus_5km_NR	plus_30m
35	NR1	Autre	NR3	plus_5km_NR	plus_30m
36	NR1	Autre	NR3	plus_5km_NR	plus_30m
37	NR1	Autre	NR3	plus_5km_NR	plus_30m
38	NR1	Autre	NR3	plus_5km_NR	plus_30m
39	NR1	Autre	NR3	plus_5km_NR	plus_30m
40	NR1	Autre	NR3	plus_5km_NR	plus_30m
41	NR1	Autre	NR3	plus_5km_NR	plus_30m
42	NR1	NR2	NR3	plus_5km_NR	NR5
43	NR1	Autre	NR3	plus_5km_NR	plus_30m
44	NR1	Autre	NR3	plus_5km_NR	plus_30m
45	Seul	Studio	moins_1an	moins_1km	de_10_20m
46	Seul	Cite	moins_1an	moins_1km	moins_10m
47	Seul	Cite	moins_1an	moins_1km	de_10_20m
48	Seul	Studio	moins_1an	moins_1km	de_10_20m
49	Seul	Studio	moins_1an	moins_1km	de_10_20m
50	Seul	Studio	moins_1an	moins_1km	de_10_20m
51	Seul	Cite	moins_1an	moins_1km	moins_10m
52	NR1	Autre	NR3	de_1_5km	NR5
53	Seul	Cite	moins_1an	moins_1km	de_10_20m
54	Seul	Studio	moins_1an	moins_1km	de_20_30m
55	NR1	Autre	NR3	de_1_5km	NR5
56	NR1	Autre	NR3	plus_5km_NR	plus_30m
57	NR1	Autre	NR3	de_1_5km	plus_30m
58	NR1	Autre	NR3	de_1_5km	plus_30m
59	NR1	Autre	NR3	de_1_5km	plus_30m
60	Seul	Studio	moins_1an	moins_1km	de_10_20m
61	NR1	Autre	NR3	de_1_5km	plus_30m
62	NR1	NR2	NR3	plus_5km_NR	NR5
63	NR1	Autre	NR3	de_1_5km	plus_30m
64	NR1	Autre	NR3	plus_5km_NR	plus_30m
65	NR1	Autre	NR3	de_1_5km	plus_30m
66	NR1	Autre	NR3	de_1_5km	plus_30m
67	NR1	Autre	NR3	de_1_5km	plus_30m
68	NR1	Autre	NR3	de_1_5km	plus_30m
69	Seul	Cite	moins_1an	de_1_5km	moins_10m
70	Seul	Cite	moins_1an	moins_1km	moins_10m
71	Seul	Cite	moins_1an	de_1_5km	moins_10m
72	Seul	Cite	moins_1an	de_1_5km	moins_10m
73	NR1	Autre	NR3	de_1_5km	plus_30m
