,Age,Credit amount,Duration,Sex_cat,Job_cat,Housing_cat,Purpose_cat,Saving accounts_cat,Checking account_cat
0,67,1169,6,1,2,1,5,0,0
1,22,5951,48,0,2,1,5,0,1
2,49,2096,12,1,1,1,3,0,0
3,45,7882,42,1,2,0,4,0,0
4,53,4870,24,1,2,0,1,0,0
5,35,9055,36,1,1,0,3,0,0
6,53,2835,24,1,2,1,4,2,0
7,35,6948,36,1,3,2,1,0,1
8,61,3059,12,1,1,1,5,3,0
9,28,5234,30,1,3,1,1,0,1
10,25,1295,12,0,2,2,1,0,1
11,24,4308,48,0,2,2,0,0,0
12,22,1567,12,0,2,1,5,0,1
13,60,1199,24,1,1,1,1,0,0
14,28,1403,15,0,2,2,1,0,0
15,32,1282,24,0,1,1,5,1,0
16,53,2424,24,1,2,1,5,0,0
17,25,8072,30,1,2,1,0,0,0
18,44,12579,24,0,3,0,1,0,1
19,31,3430,24,1,2,1,5,2,0
20,48,2134,9,1,2,1,1,0,0
21,44,2647,6,1,2,2,5,2,0
22,48,2241,10,1,1,2,1,0,0
23,44,1804,12,1,2,1,1,1,1
24,26,2069,10,1,2,1,4,0,0
25,36,1374,6,1,1,1,4,0,0
26,39,426,6,1,1,1,5,0,0
27,42,409,12,0,2,2,5,3,2
28,34,2415,7,1,2,1,5,0,1
29,63,6836,60,1,2,1,0,0,0
30,36,1913,18,1,2,1,0,3,1
31,27,4020,24,1,2,1,4,0,0
32,30,5866,18,1,2,1,1,1,1
33,57,1264,12,1,1,2,0,0,0
34,33,1474,12,0,3,1,4,0,2
35,25,4746,45,1,1,1,5,0,1
36,31,6110,48,1,2,0,3,0,0
37,37,2100,18,1,2,1,5,0,2
38,37,1225,10,1,2,1,2,0,2
39,24,458,9,1,2,1,5,0,1
40,30,2333,30,1,3,1,5,2,0
41,26,1158,12,1,2,1,5,2,1
42,44,6204,18,1,1,1,6,0,1
43,24,6187,30,1,2,2,1,1,0
44,58,6143,48,0,1,0,1,0,0
45,35,1393,11,0,3,1,1,0,0
46,39,2299,36,1,2,1,5,2,0
47,23,1352,6,0,0,2,1,2,0
48,39,7228,11,1,1,1,1,0,0
49,28,2073,12,0,2,1,5,1,0
50,29,2333,24,1,1,1,4,0,1
51,30,5965,27,1,3,1,1,0,1
52,25,1262,12,1,2,1,5,0,0
53,31,3378,18,1,2,1,1,0,0
54,57,2225,36,1,2,0,1,0,1
55,26,783,6,1,1,1,1,0,0
56,52,6468,12,1,3,1,5,0,1
57,31,9566,36,0,2,1,5,0,0
58,23,1961,18,0,3,1,1,0,2
59,23,6229,36,0,1,2,4,0,0
60,27,1391,9,1,2,1,0,0,1
61,50,1537,15,1,2,1,5,0,1
62,61,1953,36,1,3,0,0,0,1
63,25,14421,48,1,2,1,0,0,1
64,26,3181,24,0,2,1,5,0,0
65,48,5190,27,1,2,1,6,0,0
66,29,2171,12,0,2,1,5,0,0
67,22,1007,12,1,2,1,1,3,1
68,37,1819,36,1,2,0,3,0,0
69,25,2394,36,0,2,1,5,0,0
70,30,8133,36,0,2,1,1,0,0
71,46,730,7,1,1,2,5,0,0
72,51,1164,8,1,3,0,7,0,0
73,41,5954,42,0,1,1,0,0,1
74,40,1977,36,1,3,1,3,0,0
75,66,1526,12,1,3,0,1,0,0
76,34,3965,42,1,2,1,5,0,0
77,51,4771,11,1,2,1,5,0,1
78,39,9436,54,1,1,1,1,0,0
79,22,3832,30,1,2,1,4,0,1
80,44,5943,24,0,2,1,5,0,0
81,47,1213,15,1,2,1,5,2,0
82,24,1568,18,0,1,2,0,1,0
83,58,1755,24,0,1,1,7,0,0
84,52,2315,10,1,1,1,5,0,0
85,29,1412,12,0,3,1,0,0,0
86,27,1295,18,0,2,1,4,0,1
87,47,12612,36,1,2,0,3,1,1
88,30,2249,18,1,3,1,1,1,0
89,28,1108,12,1,2,1,6,0,0
90,56,618,12,1,2,1,5,0,0
91,54,1409,12,1,2,1,1,0,0
92,33,797,12,0,1,1,5,0,0
93,20,3617,24,1,2,2,4,0,2
94,54,1318,12,1,2,1,1,3,1
95,58,15945,54,1,2,2,0,0,1
96,61,2012,12,0,2,1,3,0,0
97,34,2622,18,1,2,1,0,1,1
98,36,2337,36,1,2,1,5,0,1
99,36,7057,20,1,3,2,1,0,1
100,41,1469,24,1,1,2,1,1,0
101,24,2323,36,1,2,2,5,0,1
102,24,932,6,0,2,1,5,0,0
103,35,1919,9,1,2,2,4,0,1
104,26,2445,12,1,2,2,1,0,0
105,39,11938,24,1,3,1,7,0,1
106,39,6458,18,1,3,1,1,0,0
107,32,6078,12,1,2,1,1,0,1
108,30,7721,24,0,2,1,4,0,0
109,35,1410,14,1,2,1,0,2,1
110,31,1449,6,1,2,1,0,1,1
111,23,392,15,0,2,2,3,0,2
112,28,6260,18,1,1,2,1,0,1
113,25,7855,36,0,2,1,1,0,0
114,35,1680,12,1,2,1,5,2,0
115,47,3578,48,1,2,1,5,0,0
116,30,7174,42,0,3,1,5,0,0
117,27,2132,10,0,2,2,4,0,0
118,23,4281,33,0,2,1,4,2,0
119,36,2366,12,1,3,1,1,2,1
120,25,1835,21,0,2,1,5,0,0
121,41,3868,24,0,3,2,1,0,0
122,24,1768,12,1,1,2,4,0,0
123,63,781,10,1,2,0,1,0,2
124,27,1924,18,0,2,2,4,0,1
125,30,2121,12,1,2,1,1,0,0
126,40,701,12,1,1,1,5,0,0
127,30,639,12,1,2,1,6,0,1
128,34,1860,12,1,3,1,1,0,1
129,29,3499,12,0,2,1,1,0,0
130,24,8487,48,0,2,1,1,0,1
131,29,6887,36,1,2,1,3,0,0
132,27,2708,15,1,1,1,4,0,0
133,47,1984,18,1,2,0,4,0,0
134,21,10144,60,0,2,1,5,1,0
135,38,1240,12,0,2,1,5,0,0
136,27,8613,27,1,2,1,1,3,0
137,66,766,12,1,1,1,5,2,1
138,35,2728,15,1,2,1,5,0,1
139,44,1881,12,0,1,2,5,0,2
140,27,709,6,1,0,1,1,3,2
141,30,4795,36,0,3,1,5,0,1
142,27,3416,27,1,3,1,5,0,0
143,22,2462,18,1,2,1,4,0,0
144,23,2288,21,0,2,1,4,0,0
145,30,3566,48,1,2,1,0,1,1
146,39,860,6,0,2,1,1,0,0
147,51,682,12,0,2,1,1,1,0
148,28,5371,36,1,2,1,4,0,0
149,46,1582,18,1,2,1,5,3,0
150,42,1346,6,1,2,0,5,1,0
151,38,1924,10,1,2,1,5,0,0
152,24,5848,36,1,2,1,5,0,2
153,29,7758,24,0,2,2,1,3,1
154,36,6967,24,1,3,2,0,1,1
155,20,1282,12,0,2,2,4,0,0
156,48,1288,9,1,2,1,6,1,0
157,45,339,12,1,1,1,3,0,0
158,38,3512,24,1,2,1,1,1,1
159,34,1898,6,1,1,1,5,0,0
160,36,2872,24,1,2,1,5,1,0
161,30,1055,18,0,2,1,1,0,0
162,36,1262,15,1,2,1,2,2,0
163,70,7308,10,1,3,0,1,0,1
164,36,909,36,1,2,1,1,2,0
165,32,2978,6,1,2,1,4,2,0
166,33,1131,18,0,2,1,4,0,0
167,20,1577,11,0,2,1,4,3,1
168,25,3972,24,0,2,2,4,0,0
169,31,1935,24,1,2,1,0,0,1
170,33,950,15,1,2,2,1,0,0
171,26,763,12,0,2,1,4,0,0
172,34,2064,24,0,3,1,4,0,1
173,33,1414,8,1,2,1,5,0,1
174,26,3414,21,1,2,1,3,0,0
175,53,7485,30,0,3,1,1,0,0
176,42,2577,12,1,2,1,4,0,0
177,52,338,6,1,2,1,5,2,0
178,31,1963,12,1,3,2,5,0,0
179,65,571,21,1,2,1,1,0,0
180,28,9572,36,1,2,1,0,0,0
181,30,4455,36,1,3,1,0,0,1
182,40,1647,21,1,1,1,1,0,0
183,50,3777,24,1,2,1,4,3,0
184,36,884,18,1,2,1,1,0,1
185,31,1360,15,1,2,1,5,0,0
186,74,5129,9,0,3,0,1,0,1
187,68,1175,16,1,0,0,1,0,1
188,20,674,12,1,2,1,5,1,0
189,33,3244,18,0,2,1,4,0,1
190,54,4591,24,1,3,1,0,3,0
191,34,3844,48,1,1,0,0,1,1
192,36,3915,27,1,2,1,0,0,1
193,29,2108,6,1,2,2,5,0,0
194,21,3031,45,1,2,2,5,1,1
195,34,1501,9,0,3,1,3,0,1
196,28,1382,6,0,2,1,5,0,0
197,27,951,12,0,2,2,4,1,1
198,36,2760,24,1,2,0,1,0,1
199,40,4297,18,1,3,1,4,0,1
200,52,936,9,1,2,1,3,2,0
201,27,1168,12,1,1,1,1,0,0
202,26,5117,27,1,2,1,0,0,0
203,21,902,12,1,2,2,3,0,0
204,38,1495,12,1,1,1,1,0,0
205,38,10623,30,1,3,0,1,0,0
206,43,1935,12,1,2,1,4,0,0
207,26,1424,12,1,2,1,2,0,1
208,21,6568,24,1,1,1,0,0,0
209,55,1413,12,1,2,1,1,3,0
210,33,3074,9,1,2,1,5,0,0
211,45,3835,36,0,1,1,5,0,0
212,50,5293,27,1,2,1,0,0,0
213,66,1908,30,1,3,1,0,0,2
214,51,3342,36,1,2,1,5,0,0
215,39,932,6,0,1,1,3,0,1
216,31,3104,18,1,2,1,0,0,0
217,23,3913,36,1,2,1,5,0,2
218,24,3021,24,1,1,2,4,0,0
219,64,1364,10,0,2,1,1,0,0
220,26,625,12,1,1,1,5,0,1
221,23,1200,12,0,2,2,3,0,0
222,30,707,12,1,2,1,5,0,0
223,32,2978,24,1,2,1,0,0,0
224,30,4657,15,1,2,1,1,0,0
225,27,2613,36,1,2,1,6,0,0
226,27,10961,48,1,2,1,5,3,1
227,53,7865,12,1,3,0,4,0,0
228,22,1478,9,1,2,1,5,0,0
229,22,3149,24,1,2,0,4,0,0
230,26,4210,36,1,2,1,5,0,2
